,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,İskilip,40.74,34.47,67.95,40,0,5.46,TR,1600789906
277,Collie,-33.37,116.15,50.0,71,62,3.83,AU,1600789906
278,Japura,-0.32,102.35,73.8,96,15,2.19,ID,1600789906
279,Paungde,18.48,95.5,77.79,94,100,6.31,MM,1600789907
280,Āsosa,10.07,34.53,64.35,98,68,1.43,ET,1600789907
281,São Geraldo do Araguaia,-6.4,-48.55,101.12,28,57,7.76,BR,1600789907
282,Yar-Sale,66.83,70.83,37.4,79,5,8.88,RU,1600789908
283,Ixtapa,20.7,-105.2,80.6,83,20,3.36,MX,1600789908
284,Cherskiy,68.75,161.3,36.48,78,100,9.62,RU,1600789908
285,Coquimbo,-29.95,-71.34,57.2,82,20,12.75,CL,1600789496
286,Pandan,14.05,124.17,80.1,76,98,2.8,PH,1600789909
287,Wuchang,44.91,127.15,53.33,95,99,3.27,CN,1600789909
288,Vrangel',42.73,133.08,56.37,85,44,6.82,RU,1600789909
289,Chara,56.91,118.26,41.77,79,65,0.63,RU,1600789909
290,Port Macquarie,-31.43,152.92,54.0,89,0,6.38,AU,1600789630
291,Dauphin,51.15,-100.05,60.8,63,1,2.24,CA,1600789910
292,Kyshtovka,56.55,76.63,39.06,78,85,4.88,RU,1600789910
293,Burnie,-41.07,145.92,48.0,82,89,11.99,AU,1600789910
294,Saint-François,46.42,3.91,71.01,72,18,4.7,FR,1600789793
295,Port Hardy,50.7,-127.42,50.0,100,75,3.36,CA,1600789911
296,San Fernando,15.03,120.69,78.8,88,90,2.24,PH,1600789763
297,Kostomuksha,64.57,30.58,42.26,66,71,10.0,RU,1600789911
298,Anchorage,61.22,-149.9,46.99,75,75,4.7,US,1600789834
299,Bethel,41.37,-73.41,63.0,41,1,9.17,US,1600789911
300,Bismarck,46.81,-100.78,72.0,59,1,11.39,US,1600789871
301,Suzun,53.78,82.31,51.42,49,100,3.83,RU,1600789912
302,Lalibela,12.03,39.03,61.93,47,64,7.92,ET,1600789912
303,Cardston,49.2,-113.3,48.99,81,75,10.29,CA,1600789912
304,São João da Barra,-21.64,-41.05,71.6,94,90,14.99,BR,1600789913
305,Isangel,-19.55,169.27,70.03,80,2,11.7,VU,1600789913
306,Zyryanka,65.75,150.85,35.8,84,92,6.44,RU,1600789913
307,Muromtsevo,56.37,75.24,39.4,76,85,4.92,RU,1600789914
308,Nemuro,43.32,145.57,58.14,76,89,12.84,JP,1600789914
309,Puerto Carreño,6.19,-67.49,87.8,62,20,10.29,CO,1600789914
310,Rocha,-34.48,-54.33,60.33,51,14,8.03,UY,1600789914
311,Pachperwa,27.52,82.65,78.94,85,97,7.09,IN,1600789915
312,Hofn,64.25,-15.21,42.84,60,0,5.84,IS,1600789915
313,Belém de São Francisco,-8.75,-38.97,94.73,28,24,6.73,BR,1600789915
314,Pedra Azul,-16.01,-41.3,88.5,31,64,7.0,BR,1600789915
315,Berlevåg,70.86,29.09,44.6,87,75,8.05,NO,1600789916
316,Sinj,43.7,16.64,75.2,64,40,11.41,HR,1600789916
317,Alyangula,-13.85,136.42,71.6,88,0,4.16,AU,1600789916
318,Ilhabela,-23.78,-45.36,65.88,89,100,10.85,BR,1600789916
319,Anadyr,64.75,177.48,28.4,100,13,2.24,RU,1600789917
320,Loandjili,-4.76,11.86,78.8,78,40,9.17,CG,1600789917
321,Antakya,36.21,36.16,84.2,66,20,16.11,TR,1600789917
322,Huangmei,30.19,116.03,63.25,91,100,5.79,CN,1600789917
323,Raudeberg,61.99,5.14,53.01,93,100,27.78,NO,1600789918
324,Dikson,73.51,80.55,43.11,85,63,20.49,RU,1600789762
325,Broome,42.25,-75.83,61.0,50,1,6.93,US,1600789918
326,Santa Cruz de La Palma,28.68,-17.76,78.01,83,75,8.05,ES,1600789918
327,Zhigansk,66.77,123.37,39.83,77,30,3.0,RU,1600789918
328,Puerto Nariño,-3.77,-70.38,84.2,79,40,4.7,CO,1600789919
329,Westport,41.14,-73.36,66.0,39,1,11.41,US,1600789919
330,Tūkrah,32.53,20.58,77.77,61,0,8.99,LY,1600789919
331,Maniitsoq,65.42,-52.9,32.77,91,87,0.47,GL,1600789849
332,Philadelphia,39.95,-75.16,68.0,36,20,12.75,US,1600789630
333,Madang,-5.22,145.8,77.58,87,99,3.74,PG,1600789920
334,Sémbé,1.65,14.58,76.01,92,95,2.3,CG,1600789920
335,Celina,40.55,-84.57,68.0,48,1,4.7,US,1600789920
336,Pozo Colorado,-23.49,-58.8,87.53,23,0,2.89,PY,1600789921
337,Caravelas,-17.71,-39.25,83.16,62,70,11.32,BR,1600789921
338,Egvekinot,66.32,-179.17,33.37,88,63,1.12,RU,1600789921
339,Kautokeino,69.01,23.04,39.45,73,18,22.66,NO,1600789922
340,Athabasca,54.72,-113.29,50.88,65,0,3.53,CA,1600789922
341,Safi,32.3,-9.24,76.87,61,100,16.82,MA,1600789923
342,Severo-Kuril'sk,50.68,156.12,47.41,84,16,9.15,RU,1600789923
343,Puerto Escondido,15.85,-97.07,82.4,74,5,6.93,MX,1600789923
344,Waingapu,-9.66,120.26,78.75,66,53,2.66,ID,1600789923
345,Abalak,58.13,68.59,38.32,87,22,6.87,RU,1600789924
346,Puerto Ayacucho,5.66,-67.62,87.8,62,20,10.29,VE,1600789924
347,Hutang,31.53,119.48,64.0,96,100,3.0,CN,1600789925
348,Nhulunbuy,-12.23,136.77,71.6,94,0,6.53,AU,1600789925
349,Opuwo,-18.06,13.84,90.57,12,35,15.05,NA,1600789925
350,Bandarbeyla,9.49,50.81,77.61,78,54,32.06,SO,1600789926
351,Kolyvan',55.31,82.74,48.2,66,62,6.71,RU,1600789926
352,Isla Mujeres,21.23,-86.73,86.0,79,75,3.36,MX,1600789926
353,La Ronge,55.1,-105.28,50.0,76,20,10.29,CA,1600789926
354,Bocas del Toro,9.33,-82.25,71.01,66,45,5.28,PA,1600789927
355,Vangaindrano,-23.35,47.6,70.95,80,19,7.94,MG,1600789927
356,Akşehir,38.36,31.42,73.04,34,25,3.69,TR,1600789927
357,Kisangani,0.52,25.2,89.6,49,20,6.93,CD,1600789928
358,Bambous Virieux,-20.34,57.76,71.6,73,20,4.7,MU,1600789738
359,Khon Kaen,16.45,102.83,82.4,83,20,2.24,TH,1600789928
360,Kumul,42.8,93.45,65.89,37,0,4.41,CN,1600789501
361,Klaksvík,62.23,-6.59,42.8,93,100,8.05,FO,1600789929
362,Torbay,47.67,-52.73,57.0,58,90,13.87,CA,1600789718
363,Najrān,17.49,44.13,91.4,14,8,9.17,SA,1600789450
364,Taoudenni,22.68,-3.98,111.22,6,0,7.16,ML,1600789929
365,Brainerd,46.36,-94.2,71.01,72,1,2.53,US,1600789929
366,Damaturu,11.75,11.96,93.51,37,0,2.01,NG,1600789930
367,Kutina,45.48,16.78,73.4,73,20,5.82,HR,1600789931
368,Vokhma,58.93,46.76,52.54,83,100,12.95,RU,1600789931
369,Lorengau,-2.02,147.27,81.27,80,26,8.08,PG,1600789931
370,Gejiu,23.31,103.16,60.48,100,100,4.16,CN,1600789932
371,Borūjerd,33.9,48.75,66.29,25,0,5.32,IR,1600789932
372,Tezu,27.92,96.17,75.0,86,100,2.01,IN,1600789932
373,Ōme,35.78,139.24,68.0,82,90,10.29,JP,1600789932
374,Karratha,-20.74,116.85,70.54,48,0,8.75,AU,1600789933
375,São Paulo de Olivença,-3.38,-68.87,84.96,82,93,2.19,BR,1600789933
376,Talnakh,69.49,88.4,55.4,66,40,24.61,RU,1600789933
377,Guiratinga,-16.35,-53.76,93.11,35,9,5.93,BR,1600789933
378,Belaya Gora,68.53,146.42,42.76,83,95,6.22,RU,1600789934
379,Uvira,-3.41,29.15,74.03,70,65,5.75,CD,1600789934
380,Örnsköldsvik,63.29,18.72,51.8,62,100,3.36,SE,1600789934
381,Kon Tum,14.35,108.0,71.19,93,4,1.54,VN,1600789935
382,Nizip,37.01,37.79,84.2,35,0,5.82,TR,1600789935
383,Darovskoy,58.77,47.96,52.29,85,100,12.26,RU,1600789935
384,Port-Gentil,-0.72,8.78,82.4,74,40,14.34,GA,1600789935
385,Willemstad,12.11,-68.93,93.2,59,20,12.75,CW,1600789936
386,Teruel,40.67,-0.67,73.4,31,96,12.75,ES,1600789936
387,Kieta,-6.22,155.63,78.93,77,90,1.21,PG,1600789936
388,Nea Makri,38.08,23.98,80.01,60,20,9.17,GR,1600789936
389,Codrington,-38.27,141.97,50.07,89,97,13.06,AU,1600789937
390,Les Herbiers,46.87,-1.02,71.01,68,90,9.17,FR,1600789937
391,Gobabis,-22.45,18.97,89.46,12,3,5.66,NA,1600789937
392,Hambantota,6.12,81.12,78.8,94,75,8.05,LK,1600789937
393,Port Blair,11.67,92.75,82.56,82,83,6.2,IN,1600789938
394,Labuhan,-6.88,112.21,78.73,84,73,10.36,ID,1600789938
395,Gifhorn,52.48,10.55,78.8,31,0,6.93,DE,1600789938
396,Saint Anthony,45.02,-93.22,72.0,72,1,4.7,US,1600789939
397,Albury,-36.08,146.92,51.8,87,75,2.24,AU,1600789911
398,Neryungri,56.67,124.65,39.51,78,46,0.43,RU,1600789939
399,Verín,41.94,-7.44,66.99,21,46,5.84,ES,1600789939
400,Adrar,20.5,-10.07,103.86,13,0,5.93,MR,1600789940
401,San Cristobal,7.77,-72.22,89.6,43,40,4.7,VE,1600789813
402,Dingle,11.0,122.67,76.77,87,98,1.99,PH,1600789940
403,Camaná,-16.62,-72.71,66.83,64,35,8.81,PE,1600789940
404,Āsbe Teferī,9.08,40.87,63.86,78,99,6.17,ET,1600789941
405,Champerico,14.3,-91.92,84.2,70,20,4.7,GT,1600789454
406,Ust'-Omchug,61.15,149.63,28.18,88,0,0.81,RU,1600789941
407,Korem,12.51,39.52,62.08,50,22,5.77,ET,1600789941
408,Sept-Îles,50.2,-66.38,50.0,71,75,14.99,CA,1600789799
409,Lüderitz,-26.65,15.16,78.13,19,0,18.81,NA,1600789814
410,Mariehamn,60.1,19.93,55.4,87,69,9.17,AX,1600789758
411,Brigantine,39.41,-74.36,66.0,42,1,13.87,US,1600789942
412,Río Gallegos,-51.62,-69.22,51.8,34,20,32.21,AR,1600789942
413,Abu Samrah,35.3,37.18,79.47,42,0,11.65,SY,1600789942
414,Ordu,40.91,37.68,71.6,88,75,4.7,TR,1600789943
415,Sukhobezvodnoye,57.05,44.89,54.84,81,100,9.1,RU,1600789943
416,Mahajanga,-15.72,46.32,80.6,74,20,12.75,MG,1600789943
417,Rotterdam,51.92,4.48,73.0,53,0,6.93,NL,1600789729
418,Nouakchott,18.09,-15.98,89.6,49,0,14.99,MR,1600789944
419,Punalūr,9.0,76.93,78.8,100,40,2.24,IN,1600789759
420,Gamba,-2.65,10.0,76.69,79,67,8.97,GA,1600789944
421,Nador,35.17,-2.93,87.8,35,65,10.29,MA,1600789944
422,Merauke,-8.47,140.33,77.38,77,99,13.91,ID,1600789945
423,Srednekolymsk,67.45,153.68,37.65,77,100,7.43,RU,1600789945
424,Havre-St-Pierre,50.23,-63.6,46.4,81,1,5.28,CA,1600789945
425,Tegul'det,57.31,88.17,44.65,78,16,5.66,RU,1600789945
426,Narasannapeta,18.42,84.05,81.95,83,85,12.77,IN,1600789946
427,Ketchikan,55.34,-131.65,55.4,76,90,23.04,US,1600789946
428,Byron Bay,-28.65,153.62,72.0,88,100,2.24,AU,1600789757
429,Coyhaique,-45.58,-72.07,50.0,53,75,10.29,CL,1600789464
430,São José da Coroa Grande,-8.9,-35.15,80.19,71,26,11.12,BR,1600789947
431,Torata,-17.08,-70.84,71.96,20,0,9.71,PE,1600789947
432,Springbok,-29.66,17.89,75.88,13,0,8.39,ZA,1600789947
433,San Diego de Los Baños,22.65,-83.37,84.92,71,97,5.14,CU,1600789947
434,Kamskiye Polyany,55.43,51.42,55.4,76,75,13.42,RU,1600789948
435,Ilo,-17.64,-71.34,64.4,72,75,8.05,PE,1600789948
436,Businga,3.33,20.88,81.34,77,49,2.17,CD,1600789948
437,Kruisfontein,-34.0,24.73,58.84,62,27,3.85,ZA,1600789948
438,Khandyga,62.67,135.6,39.6,78,0,0.81,RU,1600789949
439,Kawalu,-7.38,108.21,72.28,93,74,2.28,ID,1600789949
440,Doctor Arroyo,23.67,-100.18,68.68,62,25,2.24,MX,1600789949
441,Bouloupari,-21.87,166.05,60.8,82,0,3.24,NC,1600789949
442,Vanavara,60.34,102.28,39.36,87,0,4.92,RU,1600789950
443,Marsá Maţrūḩ,31.35,27.25,82.4,54,20,9.17,EG,1600789950
444,Bubaque,11.28,-15.83,81.23,76,6,6.02,GW,1600789950
445,Mana,5.66,-53.78,87.87,61,5,11.07,GF,1600789950
446,Dagana,16.52,-15.51,99.9,31,12,6.71,MR,1600789951
447,Vasilevo,41.48,22.64,82.0,48,0,6.24,MK,1600789951
448,Vágur,61.47,-6.81,43.11,90,100,19.46,FO,1600789951
449,Carbonia,39.17,8.52,82.99,58,20,3.36,IT,1600789951
450,Natal,-5.79,-35.21,86.0,62,75,18.34,BR,1600789809
451,Batemans Bay,-35.72,150.18,52.0,60,0,7.0,AU,1600789952
452,Skibbereen,51.55,-9.27,59.0,87,75,14.99,IE,1600789952
453,Emerald,-23.53,148.17,75.2,69,100,8.05,AU,1600789953
454,Gladstone,-23.85,151.25,73.4,78,90,5.82,AU,1600789953
455,Goderich,43.75,-81.72,63.0,81,21,3.0,CA,1600789790
456,Saint-Pierre,-21.34,55.48,73.4,64,90,5.82,RE,1600789953
457,Mosetse,-20.75,26.65,74.12,42,0,22.53,BW,1600789953
458,Acarí,-15.43,-74.62,76.86,38,35,8.9,PE,1600789954
459,Lakes Entrance,-37.88,147.98,48.0,82,0,14.41,AU,1600789954
460,Manturovo,58.34,44.76,54.19,78,100,11.68,RU,1600789954
461,Lockhart,28.62,-81.44,84.0,61,90,14.99,US,1600789955
462,Jiehu,35.54,118.45,63.01,93,66,1.1,CN,1600789955
463,Trincomalee,8.57,81.23,81.86,74,4,17.05,LK,1600789955
464,Lakhdenpokh'ya,61.52,30.2,55.0,65,87,8.08,RU,1600789955
465,Kapoeta,4.77,33.59,86.4,47,46,6.51,SS,1600789956
466,Miyako,39.64,141.95,62.87,85,100,2.98,JP,1600789956
467,Prabumulih,-3.45,104.25,76.84,84,60,2.53,ID,1600789956
468,Kodinsk,58.69,99.18,41.92,76,6,7.0,RU,1600789956
469,Tahoua,14.89,5.27,95.67,28,27,5.93,NE,1600789957
470,Safaga,26.73,33.94,93.2,34,0,16.11,EG,1600789957
471,Hearst,49.68,-83.67,63.43,70,81,9.6,CA,1600789957
472,Talaya,61.38,152.75,25.56,92,0,0.43,RU,1600789957
473,Rupert,42.62,-113.68,53.6,66,1,0.4,US,1600789958
474,Kudahuvadhoo,2.67,72.89,82.69,76,100,11.83,MV,1600789958
475,Maragogi,-9.01,-35.22,79.92,72,8,11.45,BR,1600789958
476,Baton Rouge,30.45,-91.15,73.0,83,90,11.41,US,1600789850
477,Sambava,-14.27,50.17,73.69,76,25,14.03,MG,1600789959
478,Makkah al Mukarramah,21.43,39.83,93.78,29,0,11.63,SA,1600789959
479,Baculin,7.45,126.58,80.22,80,100,6.85,PH,1600789959
480,Alofi,-19.06,-169.92,71.6,100,100,2.24,NU,1600789959
481,Mandalgovi,45.76,106.27,52.9,39,0,7.49,MN,1600789960
482,Dvinskoy Bereznik,62.86,42.71,44.17,69,12,9.01,RU,1600789960
483,Torgelow,53.63,14.02,75.99,56,0,5.82,DE,1600789960
484,Tautira,-17.73,-149.15,75.2,69,20,5.82,PF,1600789960
485,Badarganj,25.67,89.05,77.99,96,100,11.48,BD,1600789961
486,Bassano,50.78,-112.47,48.99,76,99,10.85,CA,1600789961
487,San Jerónimo,-11.95,-75.28,61.72,37,38,1.45,PE,1600789961
488,Peno,56.93,32.74,56.37,70,0,8.79,RU,1600789961
489,Hvide Sande,56.0,8.13,64.99,69,0,12.1,DK,1600789962
490,Cervo,43.67,-7.41,73.0,23,5,5.86,ES,1600789962
491,Alta Floresta,-9.88,-56.09,77.0,78,75,11.41,BR,1600789962
492,Aginskoye,51.1,114.53,39.56,72,20,3.15,RU,1600789962
493,Manadhoo,5.77,73.38,82.02,77,92,13.67,MV,1600789963
494,Daura,11.55,11.41,88.93,48,0,5.06,NG,1600789963
495,Poconé,-16.26,-56.62,95.63,32,9,5.21,BR,1600789811
496,Clarence Town,-32.58,151.78,59.0,58,0,9.17,AU,1600789963
497,Bara,10.37,10.73,87.6,57,12,3.56,NG,1600789963
498,Garrel,52.95,8.02,75.0,52,0,3.0,DE,1600789964
499,Zihuatanejo,17.63,-101.55,84.2,74,20,4.7,MX,1600789877
500,Nishiwaki,34.98,134.97,60.01,100,31,1.99,JP,1600789964
501,Upata,8.01,-62.4,89.01,59,28,1.99,VE,1600789964
502,Otane,-39.88,176.63,55.0,68,72,21.99,NZ,1600789965
503,Christchurch,-43.53,172.63,62.6,48,88,6.93,NZ,1600789940
504,Tomatlán,19.93,-105.25,86.0,67,15,1.54,MX,1600789965
505,Ginir,7.13,40.7,63.54,82,100,6.08,ET,1600789965
506,Boquira,-12.82,-42.73,102.18,16,12,4.43,BR,1600789965
507,Palu,-0.89,119.87,76.57,82,100,2.33,ID,1600789966
508,Uni,57.75,51.49,50.47,90,100,17.67,RU,1600789966
509,Kloulklubed,7.04,134.26,77.0,94,75,3.36,PW,1600789966
510,Lichuan,30.3,108.85,55.33,98,100,1.5,CN,1600789967
511,General Roca,-39.03,-67.58,71.01,17,47,8.01,AR,1600789967
512,Kismayo,-0.36,42.55,78.48,82,36,17.76,SO,1600789967
513,Vaitape,-16.52,-151.75,78.98,76,90,18.88,PF,1600789967
514,Rocky Mountain House,52.37,-114.92,49.96,75,94,7.7,CA,1600789967
515,Daoukro,7.06,-3.96,82.62,76,82,3.51,CI,1600789968
516,Kuril'sk,45.23,147.88,51.42,77,26,7.47,RU,1600789968
517,Paracatu,-17.22,-46.87,79.0,42,100,4.65,BR,1600789683
518,Norsup,-16.07,167.38,77.0,83,75,4.7,VU,1600789968
519,Navolato,24.77,-107.69,84.99,77,15,3.0,MX,1600789781
520,Verāval,20.9,70.37,83.14,85,100,16.31,IN,1600789969
521,Uruguaiana,-29.75,-57.09,68.0,40,0,11.41,BR,1600789969
522,Samandağ,36.08,35.98,84.2,66,20,16.11,TR,1600789969
523,Bafoulabé,13.81,-10.83,90.95,57,0,3.11,ML,1600789970
524,Marataizes,-21.04,-40.82,76.82,80,92,12.46,BR,1600789970
525,Sobolevo,54.43,31.9,57.04,81,0,7.52,RU,1600789970
526,Marshfield,44.67,-90.17,66.99,72,20,8.05,US,1600789970
527,Villa Carlos Paz,-31.42,-64.5,73.99,16,0,19.46,AR,1600789971
528,Dargaville,-35.93,173.88,49.24,93,24,5.12,NZ,1600789861
529,Bonavista,48.65,-53.11,54.57,69,100,7.07,CA,1600789971
530,Matara,5.95,80.54,78.69,86,53,9.73,LK,1600789971
531,Shushenskoye,53.33,91.94,57.2,67,40,4.47,RU,1600789971
532,Zambezi,-13.54,23.1,90.48,12,100,5.68,ZM,1600789972
533,Balikpapan,-1.27,116.83,78.4,88,100,8.75,ID,1600789972
534,Simao,22.79,100.97,66.65,96,100,2.17,CN,1600789972
535,Necochea,-38.55,-58.74,66.0,42,31,20.0,AR,1600789972
536,Kindu,-2.95,25.95,81.52,65,92,0.74,CD,1600789973
537,Ustka,54.58,16.86,69.08,60,26,3.78,PL,1600789973
538,Vardø,70.37,31.11,46.4,81,75,11.41,NO,1600789401
539,Ouadda,8.08,22.4,74.75,88,75,2.17,CF,1600789973
540,Mildura,-34.2,142.15,48.99,87,0,5.82,AU,1600789973
541,Mayumba,-3.43,10.66,76.44,81,54,7.85,GA,1600789974
542,Grants,35.15,-107.85,60.8,36,1,3.36,US,1600789974
543,Derzhavīnsk,51.1,66.32,43.86,79,46,9.53,KZ,1600789974
544,High Level,58.52,-117.14,37.4,100,90,3.36,CA,1600789974
545,Oodweyne,9.41,45.06,85.69,33,94,9.15,SO,1600789975
546,Maputo,-25.97,32.59,69.8,56,75,5.82,MZ,1600789975
547,Yatou,37.15,122.38,63.55,74,98,5.86,CN,1600789975
548,Forsytheganj,52.63,29.73,61.95,62,0,6.29,BY,1600789975
549,Leh,34.17,77.58,55.42,32,3,1.99,IN,1600789976
550,Chita,52.03,113.55,35.6,86,48,2.24,RU,1600789976
